run,model,seed,phase,step,frequency_a,frequency_b,power_fraction,on_modular_diagonal
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-15,0.0026297804433852434,True
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-14,0.0007480113999918103,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-13,0.0005672316765412688,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-12,0.001095082494430244,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-11,0.0007358653820119798,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-10,0.0007309054490178823,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-9,0.0005230409442447126,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-8,0.0006344738067127764,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-7,0.0011735089356079698,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-6,0.0008604779723100364,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-5,0.0006761764525435865,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-4,0.0006033742101863027,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-3,0.0007222887361422181,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-2,0.0005888130399398506,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,-1,0.0004502057854551822,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,0,0.007934489287436008,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,1,0.0005413990002125502,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,2,0.0010667998576536775,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,3,0.0009143644711002707,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,4,0.0006429076893255115,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,5,0.0004886674578301609,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,6,0.0008833295432850718,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,7,0.0009255482582375407,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,8,0.0003647093253675848,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,9,0.0006967122317291796,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,10,0.0007978364010341465,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,11,0.000575197977013886,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,12,0.0011063062120229006,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,13,0.0006148264510557055,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,14,0.0006447965861298144,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-15,15,0.0013954296009615064,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-15,0.000636236509308219,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-14,0.0035241597797721624,True
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-13,0.0005806088447570801,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-12,0.00037505218642763793,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-11,0.000632640381809324,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-10,0.0007184249698184431,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-9,0.0005185175687074661,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-8,0.0005234452546574175,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-7,0.0005604891921393573,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-6,0.0005032787448726594,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-5,0.0008119613048620522,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-4,0.0007805390050634742,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-3,0.0006026054616086185,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-2,0.0005535559612326324,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,-1,0.0006433594389818609,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,-14,0,0.006042549852281809,False
