model,phase,frequency_a,frequency_b,seeds,power_fraction_median,power_fraction_min,power_fraction_max,on_modular_diagonal
kan,final,-15,-15,5,0.0325552336871624,0.02520807646214962,0.033116355538368225,True
kan,final,-15,-14,5,2.26704196393257e-05,1.1193026693945285e-05,0.00017865309200715274,False
kan,final,-15,-13,5,3.116516745649278e-05,1.3878588106308598e-05,0.00018724054098129272,False
kan,final,-15,-12,5,3.363606083439663e-05,1.0251831554342061e-05,0.0004533214378170669,False
kan,final,-15,-11,5,3.094568819506094e-05,2.0068408048246056e-05,8.325871749548241e-05,False
kan,final,-15,-10,5,0.0001332525280304253,1.3268961083667818e-05,0.0004401502083055675,False
kan,final,-15,-9,5,4.201359115540981e-05,1.5109997548279352e-05,0.0002411892346572131,False
kan,final,-15,-8,5,2.2070922568673268e-05,5.2873388085572515e-06,0.0003619392809923738,False
kan,final,-15,-7,5,3.565657971194014e-05,1.1924195860046893e-05,0.00025548809207975864,False
kan,final,-15,-6,5,2.402682730462402e-05,5.977825367153855e-06,0.000598820042796433,False
kan,final,-15,-5,5,3.0228009563870728e-05,1.630112274142448e-05,0.0006055714329704642,False
kan,final,-15,-4,5,2.9563150746980682e-05,1.7200674847117625e-05,0.0002626884379424155,False
kan,final,-15,-3,5,1.8339396774536e-05,1.0612630831019487e-05,0.00010429046233184636,False
kan,final,-15,-2,5,3.127272429992445e-05,1.265240916836774e-05,0.0004945030668750405,False
kan,final,-15,-1,5,3.392070721019991e-05,7.352698958129622e-06,0.0003330044273752719,False
kan,final,-15,0,5,9.084274643100798e-05,7.075745816109702e-05,0.0005896983784623444,False
kan,final,-15,1,5,2.303153269167524e-05,1.3016171578783542e-05,0.0004453647998161614,False
kan,final,-15,2,5,2.6404364689369686e-05,7.537026704085292e-06,0.00025578209897503257,False
kan,final,-15,3,5,0.00010378846491221339,1.0762722013168968e-05,0.00025758001720532775,False
kan,final,-15,4,5,4.0631341107655317e-05,1.50590303746867e-05,0.00018121933680959046,False
kan,final,-15,5,5,3.1399431463796645e-05,1.2111255273339339e-05,0.0003938717127311975,False
kan,final,-15,6,5,3.848302731057629e-05,1.1080622243753169e-05,0.000272380537353456,False
kan,final,-15,7,5,1.8061409718939103e-05,9.97084043774521e-06,0.000561558292247355,False
kan,final,-15,8,5,2.730729102040641e-05,1.3869234862795565e-05,0.0004410467518027872,False
kan,final,-15,9,5,6.181161006679758e-05,1.2417697689670604e-05,0.0003179864725098014,False
kan,final,-15,10,5,3.577563620638102e-05,1.4276176443672739e-05,0.000333800126099959,False
kan,final,-15,11,5,3.67031097994186e-05,2.1456649847095832e-05,0.00032530594035051763,False
kan,final,-15,12,5,3.4789987694239244e-05,1.874157169368118e-05,0.000317183235893026,False
kan,final,-15,13,5,2.080975718854461e-05,1.1587658264033962e-05,0.0001595798385096714,False
kan,final,-15,14,5,1.4794582966715097e-05,9.004340427054558e-06,0.00041046211845241487,False
kan,final,-15,15,5,2.710007902351208e-05,6.6278626036364585e-06,0.00013503494847100228,False
kan,final,-14,-15,5,3.581080454750918e-05,1.0150503840122838e-05,0.0003485039924271405,False
kan,final,-14,-14,5,0.032725702971220016,0.027155783027410507,0.033028341829776764,True
kan,final,-14,-13,5,2.0088038581889123e-05,6.630832103837747e-06,0.0001683584850979969,False
kan,final,-14,-12,5,2.890996438509319e-05,1.772635368979536e-05,0.00020866081467829645,False
kan,final,-14,-11,5,3.4289689210709184e-05,1.869358129624743e-05,0.0002866233990062028,False
kan,final,-14,-10,5,5.122076618135907e-05,2.078611396427732e-05,0.0001770363887771964,False
kan,final,-14,-9,5,4.056440957356244e-05,2.748688893916551e-05,0.0001638837275095284,False
kan,final,-14,-8,5,3.2629544875817373e-05,7.157063009799458e-06,0.0001197000383399427,False
kan,final,-14,-7,5,4.174633068032563e-05,1.668352160777431e-05,9.27053697523661e-05,False
kan,final,-14,-6,5,3.075080530834384e-05,1.0247862519463524e-05,0.0005216918070800602,False
kan,final,-14,-5,5,3.576020390028134e-05,6.693665000057081e-06,0.00041562606929801404,False
kan,final,-14,-4,5,3.6761593946721405e-05,2.20310284930747e-05,0.0002323105582036078,False
kan,final,-14,-3,5,5.845318446517922e-05,1.1089053259638604e-05,0.00025387172354385257,False
kan,final,-14,-2,5,3.138439205940813e-05,1.0481027857167646e-05,0.0003895826230291277,False
kan,final,-14,-1,5,3.155093145323917e-05,1.3245708942122292e-05,0.0001932992454385385,False
kan,final,-14,0,5,0.00016136043996084481,4.922560037812218e-05,0.0009631538414396346,False
kan,final,-14,1,5,2.0568100808304735e-05,1.0864964679058176e-05,0.00021257872867863625,False
kan,final,-14,2,5,4.269336932338774e-05,2.5288665710831992e-05,0.00023559408145956695,False
kan,final,-14,3,5,3.355881926836446e-05,1.4732730960531626e-05,0.00031830850639380515,False
kan,final,-14,4,5,2.3803833755664527e-05,1.65436758834403e-05,0.0005706162774004042,False
kan,final,-14,5,5,4.376045035314746e-05,1.3008097994315904e-05,0.0003866422630380839,False
kan,final,-14,6,5,2.9252074455143884e-05,1.0424907486594748e-05,0.0001666517200646922,False
kan,final,-14,7,5,3.075797212659381e-05,1.3947742445452604e-05,0.00030025330488570035,False
kan,final,-14,8,5,1.4323078175948467e-05,5.5088808039727155e-06,0.000258563639363274,False
kan,final,-14,9,5,4.361048559076153e-05,1.3326141925062984e-05,0.0004795166023541242,False
kan,final,-14,10,5,6.272162136156112e-05,1.2123777196393348e-05,0.00015669285494368523,False
kan,final,-14,11,5,4.206119410810061e-05,2.0422541638254188e-05,0.00011381869262550026,False
kan,final,-14,12,5,3.2343687053071335e-05,2.0534065697574988e-05,0.0001352913532173261,False
kan,final,-14,13,5,2.366638364037499e-05,1.0492727597011253e-05,9.582471830071881e-05,False
kan,final,-14,14,5,2.1417696189018898e-05,7.400838512694463e-06,0.00035893352469429374,False
kan,final,-14,15,5,5.608004721580073e-05,7.89429213909898e-06,0.00021497500711120665,False
kan,final,-13,-15,5,4.706927575170994e-05,1.2907977179565933e-05,0.0005276110023260117,False
kan,final,-13,-14,5,3.853722591884434e-05,1.5066481864778325e-05,0.00027759248041547835,False
kan,final,-13,-13,5,0.031714655458927155,0.022183703258633614,0.032975804060697556,True
kan,final,-13,-12,5,4.069602437084541e-05,2.9557479138020426e-05,0.0004269579949323088,False
kan,final,-13,-11,5,3.21236475429032e-05,2.4504073735442944e-05,0.0007778530707582831,False
kan,final,-13,-10,5,8.37574916658923e-05,1.857684037531726e-05,0.0003643660747911781,False
kan,final,-13,-9,5,2.9856377295800485e-05,1.897849142551422e-05,0.00037875116686336696,False
kan,final,-13,-8,5,5.285313454805873e-05,1.839966898842249e-05,0.000682671379763633,False
kan,final,-13,-7,5,3.759977698791772e-05,1.7756961824488826e-05,0.0003480469749774784,False
kan,final,-13,-6,5,3.3537708077346906e-05,8.386228728340939e-06,0.0002484510187059641,False
kan,final,-13,-5,5,4.2053718061652035e-05,1.2765023711835966e-05,0.0003280163218732923,False
kan,final,-13,-4,5,5.924703145865351e-05,3.4091684938175604e-05,0.00046857286361046135,False
kan,final,-13,-3,5,4.673931107390672e-05,1.5407980754389428e-05,0.0001293180393986404,False
kan,final,-13,-2,5,4.563999391393736e-05,1.3185516763769556e-05,0.0004980937810614705,False
kan,final,-13,-1,5,3.0202460038708523e-05,2.0442614186322317e-05,0.00017114858201239258,False
kan,final,-13,0,5,0.00012790935579687357,3.815853051492013e-05,0.0011636533308774233,False
kan,final,-13,1,5,4.416982119437307e-05,2.7012700229533948e-05,0.00020773877622559667,False
kan,final,-13,2,5,4.378636731416918e-05,1.4706866750202607e-05,0.00017033582844305784,False
kan,final,-13,3,5,4.7148310841294006e-05,2.292064527864568e-05,0.0002518074761610478,False
kan,final,-13,4,5,4.0593065932625905e-05,1.1565428394533228e-05,0.00037629276630468667,False
kan,final,-13,5,5,3.3048771001631394e-05,1.7323996871709824e-05,0.00043324619764462113,False
kan,final,-13,6,5,2.50086795858806e-05,1.1565961358428467e-05,0.0002730739943217486,False
kan,final,-13,7,5,2.814672734530177e-05,1.1143543815705925e-05,0.0003642491647042334,False
kan,final,-13,8,5,2.6492669348954223e-05,1.4738467143615708e-05,0.00040854219696484506,False
kan,final,-13,9,5,7.538397039752454e-05,1.3372669855016284e-05,0.000493473606184125,False
kan,final,-13,10,5,3.4387485357001424e-05,2.5634037228883244e-05,0.00019023354980163276,False
kan,final,-13,11,5,3.429312346270308e-05,2.200982635258697e-05,0.0002174554974772036,False
kan,final,-13,12,5,3.560631739674136e-05,3.060486778849736e-05,0.0003416209074202925,False
kan,final,-13,13,5,2.7320451408741064e-05,1.4403156455955468e-05,7.24572892067954e-05,False
kan,final,-13,14,5,3.224859756301157e-05,1.9171526218997315e-05,0.0002997016708832234,False
kan,final,-13,15,5,4.687380351242609e-05,1.7887847207020968e-05,0.0004521029186435044,False
kan,final,-12,-15,5,4.186865044175647e-05,6.647707323281793e-06,0.000281956308754161,False
kan,final,-12,-14,5,2.9178430850151926e-05,1.1171870028192643e-05,0.000288846786133945,False
kan,final,-12,-13,5,3.054698754567653e-05,9.674015018390492e-06,0.00012203627557028085,False
kan,final,-12,-12,5,0.0324576310813427,0.026096653193235397,0.03299133852124214,True
kan,final,-12,-11,5,5.2030853112228215e-05,3.453484532656148e-05,0.0002669792156666517,False
kan,final,-12,-10,5,4.041131978738122e-05,1.4719248611072544e-05,0.00036051261122338474,False
kan,final,-12,-9,5,4.067185363965109e-05,2.6043579055112787e-05,0.00028919539181515574,False
kan,final,-12,-8,5,3.585289232432842e-05,2.29960660362849e-05,0.0003063571930397302,False
kan,final,-12,-7,5,5.395873085944913e-05,1.1138321497128345e-05,0.00023194646928459406,False
kan,final,-12,-6,5,7.675452070543543e-05,5.036231868871255e-06,0.00010826967627508566,False
kan,final,-12,-5,5,4.666985842050053e-05,9.822240826906636e-06,0.00013884398504160345,False
kan,final,-12,-4,5,4.348067886894569e-05,9.377350579597987e-06,0.0005103035946376622,False
kan,final,-12,-3,5,0.0001075475593097508,1.2077876817784272e-05,0.0003566585364751518,False
kan,final,-12,-2,5,3.5185585147701204e-05,1.620168040972203e-05,0.00041531524038873613,False
kan,final,-12,-1,5,4.040116982650943e-05,1.4318819921754766e-05,0.00015377800446003675,False
kan,final,-12,0,5,0.00012343755224719644,6.12667718087323e-05,0.0018958670552819967,False
kan,final,-12,1,5,2.0868821593467146e-05,1.9999277355964296e-05,0.00017825553368311375,False
kan,final,-12,2,5,3.0543702450813726e-05,1.3036340533290058e-05,0.00021547045616898686,False
kan,final,-12,3,5,7.423615898005664e-05,2.2058728063711897e-05,0.00018671454745344818,False
kan,final,-12,4,5,7.908327097538859e-05,1.1422565876273438e-05,0.0004781539901159704,False
kan,final,-12,5,5,3.948722951463424e-05,9.228680937667377e-06,0.0003609414561651647,False
kan,final,-12,6,5,3.694082624861039e-05,1.8106442439602688e-05,0.0002288894756929949,False
kan,final,-12,7,5,3.404593371669762e-05,1.8615861336002126e-05,0.0006900671869516373,False
kan,final,-12,8,5,3.8703277823515236e-05,1.1323973922117148e-05,0.0006535261054523289,False
kan,final,-12,9,5,5.5200547649292275e-05,2.848782060027588e-05,0.0001685752795310691,False
kan,final,-12,10,5,4.670647831517272e-05,2.3446504201274365e-05,0.0006249841535463929,False
kan,final,-12,11,5,4.4571017497219145e-05,1.503875228081597e-05,0.00018289501895196736,False
kan,final,-12,12,5,3.135350561933592e-05,2.2941656425246038e-05,0.0004522105446085334,False
kan,final,-12,13,5,5.1587932830443606e-05,1.3710874554817565e-05,0.0001250144705409184,False
kan,final,-12,14,5,4.110635563847609e-05,6.999461675150087e-06,9.505668276688084e-05,False
kan,final,-12,15,5,6.594978185603395e-05,9.457318810746074e-06,0.0001837352174334228,False
kan,final,-11,-15,5,4.6177086915122345e-05,1.8225016901851632e-05,0.0003093629202339798,False
kan,final,-11,-14,5,2.9297527362359688e-05,2.1687870685127564e-05,0.0002922783314716071,False
kan,final,-11,-13,5,4.026954775326885e-05,2.45270330196945e-05,7.53510685171932e-05,False
kan,final,-11,-12,5,3.316255970275961e-05,1.9437009541434236e-05,0.00017688906518742442,False
kan,final,-11,-11,5,0.03255549073219299,0.022887110710144043,0.032868605107069016,True
kan,final,-11,-10,5,3.7672223697882146e-05,1.552271169202868e-05,0.00011481090768938884,False
kan,final,-11,-9,5,4.932984302286059e-05,1.7113270587287843e-05,0.00010736426338553429,False
kan,final,-11,-8,5,3.234222094761208e-05,1.3502902220352553e-05,0.00011025487765436992,False
kan,final,-11,-7,5,4.227055251249112e-05,2.5064911824301817e-05,6.190638669067994e-05,False
kan,final,-11,-6,5,4.856870509684086e-05,1.097426957130665e-05,0.00012381655687931925,False
kan,final,-11,-5,5,3.7997921026544645e-05,1.3499738088285085e-05,0.00014630056102760136,False
kan,final,-11,-4,5,4.961531885783188e-05,2.084186053252779e-05,0.00018486160843167454,False
kan,final,-11,-3,5,7.13742192601785e-05,1.6709316696505994e-05,7.85499723860994e-05,False
kan,final,-11,-2,5,3.499446756904945e-05,2.8673408451140858e-05,0.00016985725960694253,False
kan,final,-11,-1,5,5.758689803769812e-05,1.7678745280136354e-05,0.000298039783956483,False
kan,final,-11,0,5,7.737897976767272e-05,5.2931740356143564e-05,0.0005868990556336939,False
kan,final,-11,1,5,4.860758053837344e-05,1.8140883184969425e-05,0.0001668795885052532,False
kan,final,-11,2,5,3.219595964765176e-05,2.1103582184878178e-05,0.00016319745918735862,False
kan,final,-11,3,5,6.990445399424061e-05,1.7029729860951193e-05,9.078627044800669e-05,False
kan,final,-11,4,5,3.909809311153367e-05,1.979230364668183e-05,0.00023707585933152586,False
kan,final,-11,5,5,3.13754499075003e-05,1.7791535356082022e-05,0.00025542121147736907,False
kan,final,-11,6,5,4.3987885874230415e-05,7.18856654202682e-06,0.00011748517135856673,False
kan,final,-11,7,5,3.714698686962947e-05,2.1500491129700094e-05,0.00014067170559428632,False
kan,final,-11,8,5,3.79601915483363e-05,1.7109668988268822e-05,0.00020265375496819615,False
kan,final,-11,9,5,5.126192991156131e-05,2.809079705912154e-05,0.00023882079403847456,False
kan,final,-11,10,5,6.241624942049384e-05,2.3077447622199543e-05,0.00023823989613447338,False
kan,final,-11,11,5,3.9885180740384385e-05,1.973644975805655e-05,0.0002851264434866607,False
kan,final,-11,12,5,4.526088741840795e-05,2.4737983039813116e-05,0.00010309356002835557,False
kan,final,-11,13,5,4.099422585568391e-05,2.3824561139917932e-05,8.567272016080096e-05,False
kan,final,-11,14,5,2.6004272513091564e-05,1.1344532140356023e-05,0.00017329867114312947,False
kan,final,-11,15,5,4.530886508291587e-05,1.4315276530396659e-05,0.00014303690113592893,False
kan,final,-10,-15,5,5.432793477666564e-05,1.4053131053515244e-05,0.00017354679584968835,False
kan,final,-10,-14,5,2.1395795556600206e-05,1.4415887562790886e-05,0.0002562380104791373,False
kan,final,-10,-13,5,5.471526674227789e-05,2.652508374012541e-05,0.00019335253455210477,False
kan,final,-10,-12,5,4.453619840205647e-05,1.6713385775801726e-05,0.00018884868768509477,False
kan,final,-10,-11,5,3.044489312742371e-05,1.8136415746994317e-05,9.278465586248785e-05,False
kan,final,-10,-10,5,0.027847805991768837,0.014292857609689236,0.0317893885076046,True
kan,final,-10,-9,5,3.9582464523846284e-05,1.7543819922138937e-05,0.0001878648326965049,False
kan,final,-10,-8,5,4.7447876568185166e-05,9.85117003438063e-06,0.00013000296894460917,False
kan,final,-10,-7,5,1.4150561582937371e-05,1.1425292541389354e-05,0.0004202642885502428,False
kan,final,-10,-6,5,4.390613685245626e-05,3.1507686799159274e-05,0.0002670379471965134,False
kan,final,-10,-5,5,3.815905438386835e-05,9.314667295257095e-06,0.00039092410588636994,False
kan,final,-10,-4,5,3.145351729472168e-05,1.0143475265067536e-05,0.00013341661542654037,False
kan,final,-10,-3,5,0.00010917167674051598,1.2928581782034598e-05,0.00023576148669235408,False
kan,final,-10,-2,5,2.6573137802188285e-05,1.0847281373571604e-05,0.00030192729900591075,False
kan,final,-10,-1,5,3.452553573879413e-05,1.4866162928228732e-05,0.00022842046746518463,False
kan,final,-10,0,5,0.000161952935741283,5.653173866448924e-05,0.0006933230324648321,False
kan,final,-10,1,5,2.9683664251933806e-05,7.736322913842741e-06,0.00037415698170661926,False
kan,final,-10,2,5,3.4187276469310746e-05,8.386765330214985e-06,0.00014180410653352737,False
kan,final,-10,3,5,7.003772770985961e-05,1.3116407899360638e-05,0.0001792807743186131,False
kan,final,-10,4,5,3.307894439785741e-05,1.7077834854717366e-05,0.00036549888318404555,False
kan,final,-10,5,5,5.041999611421488e-05,2.4176046281354502e-05,0.00048229139065369964,False
kan,final,-10,6,5,2.999967364303302e-05,1.7478761947131716e-05,0.00025872705737128854,False
kan,final,-10,7,5,5.803376552648842e-05,2.1003415895393118e-05,0.00010642904817359522,False
kan,final,-10,8,5,3.3405813155695796e-05,1.9250923287472688e-05,0.0006346231675706804,False
kan,final,-10,9,5,3.169683623127639e-05,2.2276128220255487e-05,0.00041214015800505877,False
kan,final,-10,10,5,8.202453318517655e-05,1.9917279132641852e-05,0.00037806908949278295,False
kan,final,-10,11,5,4.0155438910005614e-05,3.0246244932641275e-05,0.00047441781498491764,False
kan,final,-10,12,5,3.1314906664192677e-05,1.3183324881538283e-05,0.0002052652125712484,False
kan,final,-10,13,5,4.084926695213653e-05,1.5047489796415903e-05,0.0001080897927749902,False
kan,final,-10,14,5,2.208638943557162e-05,1.783839070412796e-05,0.0004389184759929776,False
kan,final,-10,15,5,6.828763434896246e-05,1.03428556030849e-05,0.00023264552874024957,False
kan,final,-9,-15,5,4.804498530575074e-05,1.3979187315271702e-05,0.00015606421220581979,False
kan,final,-9,-14,5,2.2604826881433837e-05,1.2655740647460334e-05,0.00010825297067640349,False
kan,final,-9,-13,5,6.596090679522604e-05,8.282593626063317e-06,0.00011004133557435125,False
kan,final,-9,-12,5,8.506975427735597e-05,1.3702398973691743e-05,0.00014620380534324795,False
kan,final,-9,-11,5,3.591258791857399e-05,1.854796937550418e-05,0.0001318392314715311,False
kan,final,-9,-10,5,5.415264604380354e-05,3.48240282619372e-05,0.00024257419863715768,False
kan,final,-9,-9,5,0.03271786496043205,0.02610148675739765,0.03307599574327469,True
kan,final,-9,-8,5,6.255968037294224e-05,1.0520741852815263e-05,0.00021009065676480532,False
kan,final,-9,-7,5,7.120693771867082e-05,8.937722668633796e-06,0.0002607528876978904,False
kan,final,-9,-6,5,7.276367250597104e-05,3.0451143175014295e-05,0.0003342517593409866,False
kan,final,-9,-5,5,5.4811916925245896e-05,1.715252801659517e-05,0.00013545095862355083,False
kan,final,-9,-4,5,3.6735087633132935e-05,2.589785071904771e-05,0.0002674768038559705,False
kan,final,-9,-3,5,0.00010570302401902154,1.3743326235271525e-05,0.00016254725051112473,False
kan,final,-9,-2,5,5.432772741187364e-05,1.7737056623445824e-05,0.00023162897559814155,False
kan,final,-9,-1,5,3.2922314858296886e-05,1.943386632774491e-05,0.00022695558436680585,False
kan,final,-9,0,5,0.00011400808580219746,7.821543840691447e-05,0.0011414244072511792,False
kan,final,-9,1,5,5.195368794375099e-05,1.7770495105651207e-05,0.00020257281721569598,False
kan,final,-9,2,5,4.507850462687202e-05,2.1121350073372014e-05,0.0002216381544712931,False
kan,final,-9,3,5,6.222193042049184e-05,1.525214611319825e-05,0.00021477841073647141,False
kan,final,-9,4,5,4.1085684642894194e-05,2.4153148842742667e-05,0.0004302823217585683,False
kan,final,-9,5,5,5.1064394938293844e-05,2.5930094125214964e-05,0.000377055024728179,False
kan,final,-9,6,5,3.765298242797144e-05,8.284920113510452e-06,0.0003280622186139226,False
kan,final,-9,7,5,4.814382191398181e-05,9.375798981636763e-06,0.00019967624393757433,False
kan,final,-9,8,5,1.896491266961675e-05,1.579553645569831e-05,0.00023057828366290778,False
kan,final,-9,9,5,5.040681207901798e-05,1.7714084606268443e-05,0.000285660004010424,False
kan,final,-9,10,5,5.500536281033419e-05,1.9239614630350843e-05,0.0004876747552771121,False
kan,final,-9,11,5,5.6105149269569665e-05,2.930301707237959e-05,0.00033492749207653105,False
kan,final,-9,12,5,2.6468098440091126e-05,1.4090863260207698e-05,9.50400935835205e-05,False
kan,final,-9,13,5,4.9982550990534946e-05,1.3309299902175553e-05,0.0003047734498977661,False
kan,final,-9,14,5,2.932024290203117e-05,1.1635136615950614e-05,0.00015846925089135766,False
kan,final,-9,15,5,6.766575097572058e-05,1.5890112990746275e-05,0.00013838583254255354,False
kan,final,-8,-15,5,6.198682240210474e-05,9.924274309014436e-06,0.0003421058354433626,False
kan,final,-8,-14,5,2.4716930056456476e-05,1.9143177269143052e-05,0.0002506088057998568,False
kan,final,-8,-13,5,2.0569794287439436e-05,1.2837430404033512e-05,7.824737986084074e-05,False
kan,final,-8,-12,5,2.7869775294675492e-05,1.8507285858504474e-05,0.00014307277160696685,False
kan,final,-8,-11,5,5.311519271344878e-05,2.3277991203940473e-05,8.892847836250439e-05,False
