run,model,seed,phase,step,rank,frequency_a,frequency_b,power_fraction,on_modular_diagonal
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,1,-15,0,0.007934489287436008,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,2,15,0,0.007934489287436008,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,3,-4,0,0.007419702131301165,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,4,4,0,0.007419702131301165,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,5,-1,0,0.007079648785293102,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,6,1,0,0.007079648785293102,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,7,-3,0,0.007048020604997873,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,8,3,0,0.007048020604997873,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,9,0,-15,0.006801598705351353,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,10,0,15,0.006801598705351353,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,11,-6,0,0.0063322074711322784,False
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,12,6,0,0.0063322074711322784,False
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,1,-4,-4,0.02343856915831566,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,2,4,4,0.02343856915831566,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,3,-7,-7,0.01929289661347866,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,4,7,7,0.01929289661347866,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,5,-15,-15,0.018423333764076233,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,6,15,15,0.018423333764076233,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,7,-13,-13,0.01839977316558361,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,8,13,13,0.01839977316558361,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,9,-1,-1,0.017740018665790558,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,10,1,1,0.017740018665790558,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,11,-11,-11,0.01767827570438385,True
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,12,11,11,0.01767827570438385,True
mlp_p31_f35_wd0.3_seed11,mlp,11,memorization,1600,1,-8,0,0.00893561914563179,False
mlp_p31_f35_wd0.3_seed11,mlp,11,memorization,1600,2,8,0,0.00893561914563179,False
