run,model,p,train_fraction,train_fraction_realized,weight_decay,seed,parameters,max_steps,dynamics,is_classical_grokking,memorization_step,generalization_step,generalization_delay,test_accuracy_at_memorization,accuracy_gap_at_memorization,plateau_duration_steps,final_train_accuracy,final_test_accuracy,censored,observed_or_censor_delay
mlp_p31_f35_wd0.1_seed10,mlp,31,0.35,0.34963579604578565,0.1,10,11904,15000,memorized_not_generalized,False,1400,,,0.00800000037997961,0.9860476413741708,13600,1.0,0.12479999661445618,True,13600
mlp_p31_f35_wd0.1_seed11,mlp,31,0.35,0.34963579604578565,0.1,11,11904,15000,memorized_not_generalized,False,1500,,,0.006399999838322401,0.9846714031882584,13500,1.0,0.15199999511241913,True,13500
mlp_p31_f35_wd0.1_seed12,mlp,31,0.35,0.34963579604578565,0.1,12,11904,15000,memorized_not_generalized,False,1300,,,0.009600000455975533,0.9814714025706053,13700,1.0,0.10239999741315842,True,13700
mlp_p31_f35_wd0.1_seed13,mlp,31,0.35,0.34963579604578565,0.1,13,11904,15000,memorized_not_generalized,False,1300,,,0.004800000227987766,0.986271402798593,13700,1.0,0.08640000224113464,True,13700
mlp_p31_f35_wd0.1_seed14,mlp,31,0.35,0.34963579604578565,0.1,14,11904,15000,memorized_not_generalized,False,1300,,,0.004800000227987766,0.9892476415261626,13700,1.0,0.09759999811649323,True,13700
mlp_p31_f35_wd0.3_seed10,mlp,31,0.35,0.34963579604578565,0.3,10,11904,15000,memorized_not_generalized,False,1500,,,0.006399999838322401,0.9846714031882584,13500,1.0,0.8256000280380249,True,13500
mlp_p31_f35_wd0.3_seed11,mlp,31,0.35,0.34963579604578565,0.3,11,11904,15000,memorized_not_generalized,False,1600,,,0.006399999838322401,0.987647641915828,12100,1.0,0.9312000274658203,True,13400
mlp_p31_f35_wd0.3_seed12,mlp,31,0.35,0.34963579604578565,0.3,12,11904,15000,memorized_not_generalized,False,1500,,,0.009600000455975533,0.9814714025706053,12500,1.0,0.9344000220298767,True,13500
mlp_p31_f35_wd0.3_seed13,mlp,31,0.35,0.34963579604578565,0.3,13,11904,15000,memorized_not_generalized,False,1500,,,0.009600000455975533,0.9814714025706053,13400,1.0,0.9103999733924866,True,13500
mlp_p31_f35_wd0.3_seed14,mlp,31,0.35,0.34963579604578565,0.3,14,11904,15000,memorized_not_generalized,False,1400,,,0.0031999999191612005,0.9908476418349892,13600,1.0,0.8064000010490417,True,13600
