model,p,train_fraction,weight_decay,seeds,parameters,classical_grokking_count,classical_grokking_rate,classical_grokking_ci95_low,classical_grokking_ci95_high,weak_delayed_generalization_count,weak_delayed_generalization_rate,weak_delayed_generalization_ci95_low,weak_delayed_generalization_ci95_high,joint_generalization_count,joint_generalization_rate,joint_generalization_ci95_low,joint_generalization_ci95_high,memorized_not_generalized_count,memorized_not_generalized_rate,memorized_not_generalized_ci95_low,memorized_not_generalized_ci95_high,not_memorized_count,not_memorized_rate,not_memorized_ci95_low,not_memorized_ci95_high,generalized_count,censored_count,delay_median,delay_min,delay_max,final_test_accuracy_median
kan,31,0.35,0.1,5,11718,4,0.8,0.37553462976252533,0.9637758913675698,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,1,0.2,0.03622410863243014,0.6244653702374747,0,0.0,0.0,0.43448246478317476,4,1,4600.0,3600,7300,0.9983999729156494
kan,31,0.35,0.3,5,11718,4,0.8,0.37553462976252533,0.9637758913675698,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,1,0.2,0.03622410863243014,0.6244653702374747,0,0.0,0.0,0.43448246478317476,4,1,2800.0,2300,3700,1.0
kan,31,0.5,0.1,5,11718,0,0.0,0.0,0.43448246478317476,4,0.8,0.37553462976252533,0.9637758913675698,1,0.2,0.03622410863243014,0.6244653702374747,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,400,200,1000,1.0
kan,31,0.5,0.3,5,11718,0,0.0,0.0,0.43448246478317476,2,0.4,0.11762077423264783,0.769275718723987,3,0.6,0.2307242812760128,0.882379225767352,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,200,100,700,1.0
kan,53,0.3,0.1,5,20034,0,0.0,0.0,0.43448246478317476,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,3900,2900,5100,0.9974567890167236
kan,53,0.3,0.3,5,20034,0,0.0,0.0,0.43448246478317476,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,2600,2100,2600,0.9989827275276184
kan,53,0.35,0.1,5,20034,0,0.0,0.0,0.43448246478317476,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,2300,2000,3700,0.9978094100952148
kan,53,0.35,0.3,5,20034,0,0.0,0.0,0.43448246478317476,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,1600,1300,1800,0.9989047050476074
mlp,31,0.35,0.1,5,11904,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,5,,,,0.10239999741315842
mlp,31,0.35,0.3,5,11904,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,5,,,,0.9103999733924866
mlp,31,0.5,0.1,5,11904,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,5100,4500,5700,1.0
mlp,31,0.5,0.3,5,11904,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,5300,4900,5800,1.0
mlp,53,0.3,0.1,5,20352,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,10300,9600,11300,1.0
mlp,53,0.3,0.3,5,20352,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,13400,12200,14200,1.0
mlp,53,0.35,0.1,5,20352,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,6200,5700,6700,1.0
mlp,53,0.35,0.3,5,20352,5,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,5,0,7200,6800,7700,1.0
