split,run,model,seed,phase,step,train_accuracy,test_accuracy,modular_diagonal_power_fraction,hidden_pc1_variance,hidden_pc2_variance,hidden_participation_rank
random,kan_p31_f35_wd0.3_seed10,kan,10,final,15000,1.0,0.9760000109672546,0.7150940299034119,0.16523219645023346,0.1454448401927948,9.751708984375
random,kan_p31_f35_wd0.3_seed11,kan,11,final,15000,1.0,1.0,0.9515184760093689,0.13273435831069946,0.13030864298343658,11.137153625488281
random,kan_p31_f35_wd0.3_seed12,kan,12,final,15000,1.0,1.0,0.9775506854057312,0.16298352181911469,0.13167168200016022,9.90807056427002
random,kan_p31_f35_wd0.3_seed13,kan,13,final,15000,1.0,1.0,0.9163070917129517,0.17215323448181152,0.14835861325263977,9.773857116699219
random,kan_p31_f35_wd0.3_seed14,kan,14,final,15000,1.0,1.0,0.9630265235900879,0.16551271080970764,0.1440574824810028,10.029732704162598
symmetry_safe,p31_f35_spline_wd0.3_init1_seed0,kan_symmetry,0,final,7000,1.0,0.05920000001788139,0.14648431539535522,0.1823670119047165,0.15315745770931244,8.96060562133789
symmetry_safe,p31_f35_spline_wd0.3_init1_seed1,kan_symmetry,1,final,7000,1.0,0.14079999923706055,0.16497783362865448,0.19809627532958984,0.15863202512264252,8.905081748962402
symmetry_safe,p31_f35_spline_wd0.3_init1_seed2,kan_symmetry,2,final,7000,1.0,0.04320000112056732,0.12599484622478485,0.1941552460193634,0.1561179757118225,8.523208618164062
symmetry_safe,p31_f35_spline_wd0.3_init1_seed3,kan_symmetry,3,final,7000,1.0,0.18559999763965607,0.22604234516620636,0.2308698445558548,0.17251811921596527,7.853060245513916
symmetry_safe,p31_f35_spline_wd0.3_init1_seed4,kan_symmetry,4,final,7000,1.0,0.10080000013113022,0.17674730718135834,0.24696120619773865,0.1446317434310913,7.896678447723389
